team,assistor,assisted
DET,20000795,20000810.0
DET,20000795,20000810.0
MIN,20001431,20001429.0
MIN,20000676,20000517.0
PHO,20000858,20001674.0
PHO,20001674,20001460.0
CHI,20001404,20001831.0
PHO,20000818,20001674.0
CHI,20001404,20000618.0
PHO,20001460,20000818.0
PHO,20001684,20000818.0
CHI,20001831,20001693.0
PHO,20000818,20000858.0
PHO,20001684,20001460.0
PHO,20001460,20000852.0
CHI,20001911,20000492.0
CHI,20001670,20000618.0
PHO,20001828,20001460.0
CHI,20001670,20000492.0
PHO,20000698,20000852.0
CHI,20001419,20001911.0
CHI,20001670,20001420.0
PHO,20001420,20001669.0
PHO,20001920,20000698.0
PHO,20001920,20000698.0
PHO,20001920,20000852.0
PHO,20000852,20000698.0
CHI,20001419,20001670.0
PHO,20001404,20000698.0
PHO,20001460,20001684.0
CHI,20001674,20001404.0
PHO,20001674,20000858.0
PHO,20001460,20000858.0
CHI,20001693,20001831.0
PHO,20000818,20000858.0
CHI,20000818,20000492.0
PHO,20000618,20000818.0
CHI,20001674,20000618.0
PHO,20001674,20000858.0
CHI,20000492,20001693.0
CHI,20001684,20001831.0
CHI,20000858,20001831.0
PHO,20000818,20001674.0
CHI,20000492,20000618.0
CHI,20001693,20001831.0
PHO,20001684,20000858.0
PHO,20001684,20000818.0
PHO,20001460,20000818.0
CHI,20001460,20001670.0
PHO,20001460,20000818.0
CHI,20001831,20000492.0
CHI,20001670,20001831.0
PHO,20001920,20000698.0
PHO,20001920,20001828.0
PHO,20001419,20000852.0
PHO,20001828,20000852.0
CHI,20001920,20001419.0
CHI,20001670,20001420.0
PHO,20001669,20000698.0
PHO,20001911,20001920.0
PHO,20001911,20001920.0
PHO,20000698,20001828.0
CHI,20001420,20001911.0
CHI,20000852,20001404.0
PHO,20001828,20000858.0
PHO,20000852,20000858.0
CHI,20001670,20001693.0
CHI,20000492,20001831.0
CHI,20001828,20001831.0
CHI,20000858,20001420.0
PHO,20001828,20000858.0
CHI,20001693,20001420.0
LAL,20001823,20001858.0
LAL,20000824,20001823.0
LAL,20001666,20000588.0
LAL,20001823,20000588.0
LAL,20001666,20001671.0
DEN,20001441,20000824.0
DEN,20000602,20000832.0
LAL,20001823,20000588.0
LAL,20000588,20001671.0
LAL,20001441,20001671.0
LAL,20000588,20000710.0
DEN,20000710,20001441.0
DEN,20000887,20000832.0
LAL,20001671,20000588.0
LAL,20001671,20000710.0
LAL,20001671,20000811.0
LAL,20000832,20001671.0
LAL,20000588,20000710.0
DEN,20000710,20000824.0
DEN,20000708,20001442.0
LAL,20001823,20000708.0
LAL,20001858,20000710.0
LAL,20000710,20001858.0
LAL,20000708,20000710.0
DEN,20001442,20000887.0
LAL,20000547,20000710.0
DEN,20000547,20000887.0
LAL,20000547,20000710.0
LAL,20001441,20001823.0
LAL,20001823,20000710.0
LAL,20000824,20001671.0
DEN,20000824,20000594.0
LAL,20001823,20001858.0
DEN,20000602,20000832.0
LAL,20001858,20000588.0
LAL,20000594,20000708.0
LAL,20000594,20000588.0
DEN,20000594,20000832.0
LAL,20000710,20001823.0
LAL,20001823,20001853.0
DEN,20000594,20000824.0
LAL,20000824,20000588.0
LAL,20001823,20000588.0
LAL,20001671,20000588.0
LAL,20000588,20001858.0
LAL,20001823,20001671.0
DEN,20001858,20001666.0
LAL,20001671,20000588.0
